smiles,staphylococcus_aureus
CC(O)=Nc1ccc([C@H](O)C[C@@H](O)[C@H](C)C[C@@H](C)[C@H](O)[C@H](C)/C=C/C=C/C=C/[C@H](O)CC(=O)O)cc1,0
CCc1cc(O)cc(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(C)=O)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,0
CCC(C)C(=O)C1=C(O)C(C)(C)C(O)=C(Cc2c(O)c(C/C=C(\C)CCC=C(C)C)c(O)c(C(=O)C(C)C)c2O)C1=O,0
C/C1=C\[C@@H]2C=C[C@H](C)C[C@]23OC(=O)C(=C3O)C(=O)[C@@]2(C)[C@H]3[C@H](C=C[C@H]2/C(C)=C/C[C@@H]1O)[C@@H](O)[C@](C)(O)C[C@@H]3C,0
CC(C)[C@@H]1N=C(O)[C@@H]2CCCN2C1=O,0
CC12C[C@@]34C=CC(=O)[C@@](C)(CCC(O)=Nc5c(O)ccc(C(=O)O)c5O)C3[C@H](CC1C4)O2,1
CC(C)=CCc1cc(-c2coc3c(CC=C(C)C)c(O)cc(O)c3c2=O)ccc1O,0
CC(=O)OC[C@]12CCCC(C)(C)[C@@H]1CC[C@]1(C)[C@@H]2C[C@@H](O)[C@]2(C)[C@@H]3C(=CC[C@@H]12)CO[C@H]3O,0
C/C=C(/CO)C(=O)O[C@@H]1C2=C(C)C(=O)O[C@@]2(O)C[C@@]23O[C@@H]2CC[C@H](C)[C@@]13C,1
COC(=O)C1=C(c2ccsc2C)O[C@](C)(/C=C/CC[C@H](C)O)C1=O,1
CC1(C)OC(=O)[C@@H](O)[C@@H]1O[C@H]1CC[C@@]2(C)C(CC[C@H]3Cc4c([nH]c5ccccc45)[C@@]32C)C1=O,0
CC1(C)C[C@H]2[C@@H]([C@H]1O)[C@@]1(C)[C@@]3(O[C@@H]3C(=O)[C@@]13CO3)[C@H]2O,0
COc1c(Br)cc(/C=C/C(O)=NCCCNCCCCNCCCN=C(O)/C=C/c2cc(Br)c(OC)c(Br)c2)cc1Br,0
CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)O)C[C@H](O)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,0
Oc1cc(O)cc(/C=C/c2ccccc2)c1,0
CCc1cc(O)cc(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C,1
C=CC(C)(C)c1cc([C@@H]2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,1
COC(=O)CCCCc1cc(O)c(C=O)c(O)c1C,0
CC[C@@H](C)[C@@H]1N=C(O)[C@@H]2CCCN2C1=O,0
CCCCCCCC(=O)O,0
CC1=C2[C@H](C=O)C[C@]2(C)[C@H]2C[C@H]3C(=O)C[C@H](C)C2(CC1)C3(C)C,0
C[C@@H]1C=CC(=O)[C@@]2(C)CC[C@H]3[C@@]12C[C@]1(C)CCC(C)(C)[C@]31C,1
C[C@H](CC[C@H](O)[C@](C)(O)CO)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C,0
C=CC(C)(C)c1cc(C2COc3c(CC=C(C)C)c(O)cc(O)c3C2=O)c(O)cc1O,0
O=C(O)C1=C[C@@H](O)[C@@H]2C[C@H]3[C@H](CCCc4ccc(-c5ccccc5)o4)[C@H]4C=C[C@@H]1[C@@H]2[C@H]43,0
CCCCCCCC[C@@H]1CCCc2[nH]cc(OC)c(=O)c21,0
CCCCC(=O)c1c(O)cccc1O,0
COc1c(O)c(O)c(C)c2c1C(=O)OC2,0
COC(=O)[C@H](C)N=C(O)CCCCCCC/C=C\CCCCCCO,0
COC1=C(c2ccc(OC)cc2)C(=O)[C@H](O)[C@@](O)(c2ccc(OC)cc2)C1,0
CC=CCCCCC1=C(C)C(=O)N2CCCC2O1,0
CC1=CC(=O)[C@]2(CC/C(C)=C/CC(=O)O)O[C@@H]2[C@@H]1O,1
COc1cccc2c1cc(C(=O)O)c1c(C(=O)O)cc3c(c12)OCO3,0
C[C@@H]1OCC2=C(CCOC2=O)[C@H]1CO,0
Oc1cc(Br)cc(Br)c1Oc1ccc(Br)cc1Br,1
O/N=C(\Cc1ccc(O)c(Br)c1)C(O)=NCCSSCCN=C(O)/C(Cc1cc(Br)c(O)c(Br)c1)=N/O,0
COC1=CC(=O)C=C(C[C@]2(C)[C@@H](C)CC[C@]3(C)C(C)=CCC[C@@H]23)C1=O,0
C=C1[C@]23C(=O)O[C@@H](C)[C@@]24O[C@]2(C(=C)[C@@]5(C=CC(=O)OC5(C)C)CC[C@@]32C)[C@@H](OC(C)=O)[C@]1(C)OC4=O,0
COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,0
COc1ccc2c(c1O)C(=O)O[C@H](CCC(=O)O)C2,0
C[C@H]1CCC/C=C/C(=O)c2c(O)cc(O)cc2CC(=O)O1,1
CC(C)=CC=O,0
CC1=C(C)[C@@](C)(c2ccc(C=O)cc2)CC1,0
COc1cc(O)c2c(c1)C1=C[C@@H](O)[C@H](OC(C)=O)C[C@@]1(C)OC2=O,0
Cn1cncc1C(=O)C1=NCCc2c1[nH]c1ccccc21,1
O/N=C(/Cc1cc(Br)c(O)c(-c2cc(C/C(=N/O)C(O)=NCCc3ccc(O)c(Br)c3)cc(Br)c2O)c1)C(O)=NCCc1ccc(O)c(Br)c1,0
C/C(=C\Cc1cccc2nc3cccc(C(=O)O)c3nc12)CO,0
CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2,0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,0
C=C(N=C(O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(O)=N[C@@H]([C@@H](C)O)C(O)=N/C(=C(\C)OC)c2nc(cs2)C(O)=N[C@@H]2c4nc(cs4)C(O)=N[C@@H](COC(=O)c4[nH]c5cccc6c5c4CO[C@@H]2[C@H](O[C@H]2C[C@](C)(O)[C@@H](O)[C@H](C)O2)C(=O)OC6)c2nc-3cs2)n1)C(=N)O,1
CC[C@@H](CO)NCCN[C@@H](CC)CO,0
